日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2017/1/3,32.245,4.627222,1.0459,117.82,1.2295,0.7219,7.75675,6.96855,13.7188,0.695
2017/1/4,32.26,4.659699,1.04365,117.725,1.2283,0.72735,7.75575,6.9232,13.7165,0.69405
2017/1/5,31.962,4.690424,1.05575,115.905,1.2307,0.7309,7.75455,6.8143,13.53635,0.6997
2017/1/6,31.993,4.67133,1.05915,116.185,1.23805,0.73215,7.75525,6.8488,13.6826,0.70045
2017/1/9,32.106,4.668245,1.05405,117.26,1.2188,0.7317,7.75535,6.87755,13.7403,0.69695
2017/1/10,31.948,4.638211,1.0601,115.885,1.2135,0.73695,7.75535,6.888,13.622,0.7011
2017/1/11,31.935,4.627605,1.0554,115.96,1.2156,0.7383,7.75455,6.901,13.6989,0.69985
2017/1/12,31.78,4.629615,1.06475,114.095,1.2274,0.7495,7.7547,6.8645,13.6029,0.7115
2017/1/13,31.602,4.616073,1.0636,114.615,1.21825,0.75015,7.75445,6.8461,13.5164,0.7121
2017/1/16,31.702,4.620757,1.05915,114.15,1.20265,0.7459,7.75525,6.8608,13.5949,0.7081
2017/1/17,31.603,4.632589,1.06635,113.17,1.21205,0.7545,7.75535,6.8219,13.4671,0.7179
2017/1/18,31.586,4.637172,1.0696,113.19,1.2327,0.7555,7.75625,6.8115,13.5306,0.7205
2017/1/19,31.623,4.62148,1.06495,114.82,1.2303,0.75315,7.75735,6.8426,13.58045,0.7149
2017/1/20,31.533,4.608201,1.06745,114.725,1.2329,0.75575,7.75795,6.8428,13.5175,0.7187
2017/1/23,31.431,4.605742,1.0742,113.455,1.2447,0.7561,7.75745,6.8243,13.5366,0.7199
2017/1/24,31.382,4.604712,1.0749,113.275,1.2483,0.75655,7.75705,6.8152,13.44685,0.7223
2017/2/2,31.101,4.561148,1.0794,112.85,1.26765,0.76535,7.7597,6.8187,13.3459,0.7293
2017/2/3,31.05,4.552054,1.07585,113.125,1.2525,0.7656,7.75905,6.8211,13.4224,0.72735
2017/2/6,30.943,4.543825,1.07565,112.605,1.2479,0.76595,7.7572,6.8099,13.3065,0.7313
2017/2/7,31.048,4.544123,1.0667,112.24,1.2369,0.7623,7.7573,6.83255,13.43655,0.7307
2017/2/8,31.128,4.542789,1.06475,112.255,1.2489,0.76315,7.75875,6.8522,13.5009,0.7299
2017/2/9,31.046,4.530946,1.06895,112.365,1.25625,0.7627,7.75845,6.852,13.4421,0.72025
2017/2/10,31.051,4.522889,1.0643,113.715,1.2481,0.76435,7.75775,6.8653,13.3644,0.7187
2017/2/13,31.03,4.513965,1.06545,113.515,1.25335,0.7673,7.75875,6.8742,13.28275,0.72125
2017/2/14,30.868,4.498394,1.06175,113.545,1.25255,0.7679,7.7594,6.862,13.23235,0.7179
2017/2/15,30.765,4.486398,1.05665,114.545,1.24575,0.76715,7.7625,6.8574,13.04605,0.7173
2017/2/16,30.792,4.498588,1.06335,113.69,1.24945,0.7709,7.76085,6.8448,12.9196,0.72285
2017/2/17,30.776,4.489911,1.0649,113.315,1.249,0.7693,7.76115,6.8545,13.01525,0.7192
2017/2/18,30.796,4.494707,1.06165,112.875,1.24125,0.76695,7.7615,6.8516,13.0687,0.7195
2017/2/20,30.804,4.493195,1.0618,113.075,1.24315,0.76755,7.761,6.8557,13.16455,0.7183
2017/2/21,30.793,4.484385,1.0573,113.535,1.24305,0.7661,7.7612,6.8667,13.1051,0.7149
2017/2/22,30.779,4.483177,1.05095,113.345,1.24995,0.76975,7.76095,6.86545,13.08365,0.7163
2017/2/23,30.745,4.479885,1.0564,113.295,1.24735,0.7697,7.75945,6.8629,12.91145,0.72105
2017/2/24,30.65,4.472356,1.0597,112.675,1.2548,0.7717,7.76035,6.8532,12.9131,0.72355
2017/3/1,30.76,4.477518,1.0539,113.535,1.23685,0.7661,7.76275,6.8699,13.0922,0.7125
2017/3/2,30.795,4.478578,1.05375,114.235,1.2287,0.76555,7.76305,6.87605,13.0317,0.71285
2017/3/3,31.02,4.492813,1.05155,114.315,1.2255,0.75515,7.76405,6.90435,13.13245,0.7027
2017/3/6,30.982,4.495612,1.0611,113.665,1.22745,0.7585,7.7638,6.8916,13.02495,0.70285
2017/3/7,30.85,4.475749,1.0595,113.785,1.22255,0.76075,7.7651,6.8927,12.94945,0.6993
2017/3/8,30.865,4.46561,1.0558,113.915,1.21775,0.7567,7.7667,6.9117,12.9963,0.69445
2017/3/9,31.02,4.493123,1.05465,114.515,1.21665,0.75235,7.7665,6.9039,13.1904,0.68995
2017/3/10,31.036,4.493361,1.06005,115.485,1.21595,0.75155,7.76495,6.9071,13.31085,0.6905
2017/3/13,30.916,4.483902,1.06865,114.63,1.2221,0.7577,7.76475,6.8949,13.13645,0.6935
2017/3/14,30.966,4.48301,1.06395,115.135,1.21105,0.7541,7.76915,6.9074,13.22645,0.6895
2017/3/15,30.84,4.473774,1.0633,114.64,1.22315,0.75835,7.7686,6.8935,13.09625,0.69425
2017/3/16,30.657,4.461728,1.07225,113.355,1.22705,0.76955,7.7634,6.8711,12.7402,0.70075
2017/3/17,30.566,4.443196,1.07795,113.325,1.23635,0.7689,7.7644,6.8793,12.74375,0.6995
2017/3/20,30.527,4.428491,1.0767,112.735,1.24215,0.7729,7.7662,6.8933,12.652,0.7045
2017/3/21,30.458,4.421618,1.0794,112.8,1.23765,0.77095,7.765,6.88845,12.67085,0.70375
2017/3/22,30.503,4.442365,1.0805,111.345,1.24825,0.7667,7.7664,6.8664,12.64705,0.70445
2017/3/23,30.488,4.435059,1.0787,111.23,1.2492,0.76285,7.76725,6.8743,12.57125,0.7041
2017/3/24,30.488,4.432041,1.07845,111.27,1.24885,0.76085,7.76735,6.879,12.49,0.7003
2017/3/27,30.25,4.414231,1.08705,110.175,1.2567,0.76325,7.76735,6.85285,12.3518,0.70535
2017/3/28,30.17,4.392752,1.08505,110.64,1.2581,0.76,7.7666,6.86815,12.94925,0.70215
2017/3/29,30.285,4.406528,1.0786,111.19,1.2415,0.7653,7.768,6.87275,13.108,0.7014
2017/3/30,30.315,4.405255,1.0735,111.12,1.24065,0.7655,7.7707,6.88155,12.9624,0.70155
2017/3/31,30.336,4.408367,1.0693,111.84,1.24705,0.7657,7.7679,6.88145,13.47815,0.69845
2017/4/5,30.381,4.413964,1.0671,110.665,1.2442,0.7577,7.7693,6.88295,13.6075,0.69805
2017/4/6,30.56,4.435601,1.06445,110.545,1.24865,0.7543,7.7698,6.8897,13.7987,0.69715
2017/4/7,30.601,4.440083,1.06385,110.605,1.24605,0.7527,7.76985,6.892,13.7341,0.6973
2017/4/10,30.652,4.437306,1.0585,111.285,1.2402,0.74815,7.7701,6.9078,13.9358,0.69435
2017/4/11,30.65,4.436833,1.0593,110.665,1.2405,0.75075,7.7712,6.9081,13.882,0.69485
2017/4/12,30.556,4.430253,1.0618,109.635,1.24965,0.75045,7.7719,6.8971,13.7615,0.69425
2017/4/13,30.325,4.40786,1.06485,108.92,1.25565,0.75895,7.7732,6.87975,13.4827,0.70035
2017/4/14,30.4,4.415904,1.06235,108.88,1.2513,0.75665,7.7723,6.8842,13.4258,0.699
2017/4/17,30.35,4.41031,1.064,108.31,1.25375,0.7591,7.77335,6.8816,13.4118,0.70085
2017/4/18,30.406,4.415742,1.0649,108.885,1.26005,0.75445,7.77525,6.8858,13.3238,0.70115
2017/4/19,30.418,4.419127,1.0724,108.835,1.2821,0.7512,7.77485,6.88325,13.3598,0.70195
2017/4/20,30.408,4.41962,1.07565,109.07,1.28265,0.7526,7.7757,6.88025,13.1843,0.70265
2017/4/21,30.363,4.411683,1.0722,109.19,1.28165,0.75335,7.775,6.8824,13.14565,0.7013
2017/4/24,30.272,4.39616,1.0866,110.095,1.28265,0.75655,7.77715,6.886,12.92685,0.70295
2017/4/25,30.152,4.378854,1.0889,110.4,1.28085,0.75345,7.7829,6.8858,13.07795,0.69505
2017/4/26,30.151,4.373101,1.0912,111.295,1.2811,0.74975,7.78205,6.89465,13.1145,0.6904
2017/4/27,30.156,4.370479,1.0914,111.27,1.28865,0.7477,7.78085,6.89995,13.28235,0.6897
2017/4/28,30.218,4.380311,1.0893,111.36,1.29405,0.7473,7.78035,6.8986,13.3163,0.6862
2017/5/2,30.062,4.360704,1.0908,112.12,1.2881,0.7531,7.7797,6.89385,13.2871,0.69145
2017/5/3,30.072,4.364319,1.092,112.17,1.2924,0.74895,7.78105,6.8904,13.36535,0.6939
2017/5/4,30.14,4.371506,1.0913,112.815,1.28745,0.73965,7.7815,6.89465,13.5166,0.68655
2017/5/5,30.182,4.372376,1.0976,112.32,1.29345,0.7397,7.78365,6.9029,13.62375,0.6893
2017/5/8,30.166,4.368731,1.0961,112.62,1.2981,0.74235,7.78465,6.905,13.48165,0.69425
2017/5/9,30.258,4.378212,1.09215,113.64,1.29525,0.73505,7.7836,6.91105,13.6406,0.6896
2017/5/10,30.266,4.381064,1.08935,113.79,1.29835,0.73725,7.7861,6.90835,13.54405,0.6924
2017/5/11,30.215,4.374528,1.08865,114.165,1.29345,0.7377,7.7891,6.90705,13.36285,0.6862
2017/5/12,30.201,4.374645,1.08615,113.65,1.28655,0.7392,7.79295,6.90365,13.41925,0.6846
2017/5/15,30.158,4.372699,1.09395,113.675,1.2922,0.7417,7.78715,6.8969,13.26845,0.6888
2017/5/16,30.115,4.373421,1.1033,113.485,1.29355,0.7424,7.7866,6.8859,13.1014,0.68885
2017/5/17,30.14,4.380276,1.10945,112.5,1.2935,0.7402,7.7876,6.88085,13.15775,0.6889
2017/5/18,30.225,4.391118,1.1134,110.88,1.29655,0.74355,7.7848,6.8832,13.35495,0.69285
2017/5/19,30.21,4.386583,1.1138,111.375,1.29825,0.74415,7.78205,6.8869,13.30905,0.68965
2017/5/22,30.052,4.367577,1.1172,111.32,1.2978,0.7455,7.78575,6.8807,13.2126,0.695
2017/5/23,30.166,4.384357,1.12495,111.29,1.29755,0.74965,7.787,6.88035,13.28845,0.70255
2017/5/24,30.183,4.38719,1.1186,111.86,1.29765,0.74695,7.78945,6.8798,13.0024,0.70185
